gbifID	occurrenceID	phylum	class	order	family	genus	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	eventDate	day	month	year	taxonKey	speciesKey	recordedBy
850357116	urn:lsid:artportalen.se:Sighting:1100269	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Nötön NR. Österön	b8323864-602a-4a7d-9127-bb903054e97d	59.081582999999995	14.017428	5000.0	1993-08-24T00:00:00Z	24.0	8	1993	5249504	5249504.0	Genom Michael Krikorev
850356754	urn:lsid:artportalen.se:Sighting:1095588	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Getådalen	b8323864-602a-4a7d-9127-bb903054e97d	58.67017	16.292906	5000.0	1989-07-18T00:00:00Z	18.0	7	1989	5249504	5249504.0	Genom Michael Krikorev
850356589	urn:lsid:artportalen.se:Sighting:1099432	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Lilla Älgsjön NV	b8323864-602a-4a7d-9127-bb903054e97d	58.724917000000005	16.297119	5000.0	1992-10-02T00:00:00Z	2.0	10	1992	5249504	5249504.0	Mats Elfström
850356525	urn:lsid:artportalen.se:Sighting:1097410	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Lidabranten	b8323864-602a-4a7d-9127-bb903054e97d	58.651846	16.123843	5000.0	1990-09-03T00:00:00Z	3.0	9	1990	5249504	5249504.0	Mats Elfström
850356195	urn:lsid:artportalen.se:Sighting:1095264	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Bergkulla	b8323864-602a-4a7d-9127-bb903054e97d	58.668268999999995	15.989572	5000.0	1988-09-07T00:00:00Z	7.0	9	1988	5249504	5249504.0	Ingegerd Elfström
850356088	urn:lsid:artportalen.se:Sighting:1096883	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Bengtgölen	b8323864-602a-4a7d-9127-bb903054e97d	58.689414	16.175918	5000.0	1990-07-19T00:00:00Z	19.0	7	1990	5249504	5249504.0	Genom Michael Krikorev
850356015	urn:lsid:artportalen.se:Sighting:1101031	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Hovaån NO. Rörvik V. Skagern-sluttningen	b8323864-602a-4a7d-9127-bb903054e97d	58.90545	14.28686	5000.0	1994-08-19T00:00:00Z	19.0	8	1994	5249504	5249504.0	Genom Michael Krikorev
850355915	urn:lsid:artportalen.se:Sighting:1091060	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Brandalsund	b8323864-602a-4a7d-9127-bb903054e97d	59.10755	17.664076	5000.0	1984-09-23T00:00:00Z	23.0	9	1984	5249504	5249504.0	Genom Michael Krikorev
850355890	urn:lsid:artportalen.se:Sighting:1098394	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Lilla Horssjön N	b8323864-602a-4a7d-9127-bb903054e97d	59.093088	17.401553	5000.0	1991-09-21T00:00:00Z	21.0	9	1991	5249504	5249504.0	Genom Michael Krikorev
850355840	urn:lsid:artportalen.se:Sighting:1099461	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius Fr.	SE	Hörningsnäs N 1	b8323864-602a-4a7d-9127-bb903054e97d	59.071158999999994	17.696991	5000.0	1993-07-18T00:00:00Z	18.0	7	1993	5249504	5249504.0	Hans-Göran Toresson
