gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1833622857	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:69501249	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Silvåkra	b8323864-602a-4a7d-9127-bb903054e97d	55.689988	13.457491	250.0						1985-09-09T00:00:00Z	9	9	1985	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	110516039				CC0_1_0	Tommy Knutsson	Tommy Knutsson			2018-12-21T02:19:00.588Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1499741885	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:64965026	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Ramsmora	b8323864-602a-4a7d-9127-bb903054e97d	59.338746	18.296392	500.0						1984-09-29T00:00:00Z	29	9	1984	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	105726541				CC0_1_0	Rikard Sundin	Rikard Sundin			2018-12-06T10:31:54.825Z		GEODETIC_DATUM_ASSUMED_WGS84
1492516000	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:55950365	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Lillagärde naturreservat	b8323864-602a-4a7d-9127-bb903054e97d	56.273098	15.105962	200.0						1988-08-18T00:00:00Z	18	8	1988	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	88935345				CC0_1_0	Anders Wånge Kjellsson	Anders Wånge Kjellsson			2018-12-08T06:19:50.059Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1477917834	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:55552896	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cinereus		SPECIES	Craterellus cinereus (Pers.) Donk	SE	Börringesjön, NO Markiehage	b8323864-602a-4a7d-9127-bb903054e97d	55.474628	13.319141	400.0						1993-10-16T00:00:00Z	16	10	1993	2554512	5249528	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	71936040				CC0_1_0	Bengt Hertzman	Bengt Hertzman			2018-12-25T09:18:02.275Z		GEODETIC_DATUM_ASSUMED_WGS84
1477472998	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:55544515	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus pallens Pilát	SE	Bälteberga	b8323864-602a-4a7d-9127-bb903054e97d	55.959518	12.887959	50.0						1993-10-22T00:00:00Z	22	10	1993	5249496	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	71451642				CC0_1_0	Bengt Hertzman	Bengt Hertzman			2018-12-25T09:17:59.467Z		GEODETIC_DATUM_ASSUMED_WGS84
1474489876	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:55478456	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus pallens Pilát	SE	Röstånga mölla med omgivningar	b8323864-602a-4a7d-9127-bb903054e97d	55.988019	13.290925	400.0						1993-08-07T00:00:00Z	7	8	1993	5249496	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	68112703				CC0_1_0	Bengt Hertzman	Bengt Hertzman			2018-12-07T18:39:00.329Z		GEODETIC_DATUM_ASSUMED_WGS84
1474489874	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:55478454	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Röstånga mölla med omgivningar	b8323864-602a-4a7d-9127-bb903054e97d	55.988019	13.290925	400.0						1993-08-07T00:00:00Z	7	8	1993	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	68112701				CC0_1_0	Bengt Hertzman	Bengt Hertzman			2018-12-07T18:39:00.449Z		GEODETIC_DATUM_ASSUMED_WGS84
1474489818	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:55478416	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cinereus		SPECIES	Craterellus cinereus (Pers.) Donk	SE	Röstånga mölla med omgivningar	b8323864-602a-4a7d-9127-bb903054e97d	55.988019	13.290925	400.0						1993-08-07T00:00:00Z	7	8	1993	2554512	5249528	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	68112664				CC0_1_0	Bengt Hertzman	Bengt Hertzman			2018-12-07T18:39:00.318Z		GEODETIC_DATUM_ASSUMED_WGS84
1474397754	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:55458200	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus pallens Pilát	SE	Munkabosjön med omgivn, Söderåsen	b8323864-602a-4a7d-9127-bb903054e97d	56.052535	13.126866	500.0						1993-07-25T00:00:00Z	25	7	1993	5249496	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	68005127				CC0_1_0	Bengt Hertzman	Bengt Hertzman			2018-12-24T16:40:59.801Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1461113124	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:53387730	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Cantharellaceae	Cantharellus	Cantharellus cibarius		SPECIES	Cantharellus cibarius Fr.	SE	Tostaröd	b8323864-602a-4a7d-9127-bb903054e97d	55.700372	14.104601	500.0						1988-08-13T00:00:00Z	13	8	1988	5249504	5249504	HUMAN_OBSERVATION	ArtDatabanken	Artportalen	51246988				CC0_1_0	Anders Wånge Kjellsson	Anders Wånge Kjellsson			2018-12-09T06:31:39.912Z		GEODETIC_DATUM_ASSUMED_WGS84
